,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
135,30198,1e-06,0.000000,0.000001,63,18682343272214,4.370044231414795
136,30201,1e-06,0.000000,0.000001,4012505090428226968,-851,5.279443979263306
137,30202,3e-06,0.000000,0.000003,-142767366836,-23864052859515130,5.537368059158325
138,30204,1e-06,0.000000,0.000001,2761449464724172,1,5.56387996673584
139,30205,1e-06,0.000000,0.000001,796782266,2305843009213693951,5.264441728591919
140,30210,2e-06,0.000000,0.000002,-1375037681,0,5.759439706802368
141,30211,4e-06,0.000000,0.000004,-4897287075703,-1,4.773982763290405
142,30212,1e-06,0.000000,0.000001,52051813821579247,-3386706919782612989,5.802906513214111
143,30213,1e-06,0.000000,0.000001,0,-11104864906150,5.787338733673096
144,30214,1e-06,0.000000,0.000001,222971,-1,5.762657642364502
145,30215,1e-06,0.000000,0.000001,-488641243119614,446003239283,5.033677816390991
146,30217,1e-06,0.000000,0.000001,0,17403800596,5.237430095672607
147,30219,1e-06,0.000000,0.000001,-1,14686444422,5.768907070159912
148,30220,1e-06,0.000000,0.000001,-1,2305843009213693951,5.268024921417236
149,30221,1e-06,0.000000,0.000001,89342,1,5.750765085220337
150,30222,1e-06,0.000000,0.000001,33224078905,1,5.880329608917236
151,30226,1e-06,0.000000,0.000001,-2291839010493,-770923888275,5.687045574188232
152,30227,1e-06,0.000000,0.000001,115197,1810187106,5.767313241958618
153,30230,1e-06,0.000000,0.000001,-2418911417089774,4285233632219,5.085859775543213
154,30231,1e-06,0.000000,0.000001,-52,1,5.761554479598999
155,30232,1e-06,0.000000,0.000001,1,1,5.292651176452637
156,30233,1e-06,0.000000,0.000001,-759508123550828,-1033199,5.6734490394592285
157,30238,1e-06,0.000000,0.000001,-1,-1,5.735469579696655
158,30239,1e-06,0.000000,0.000001,878583019567645431,-1,5.3849194049835205
159,30241,1e-06,0.000000,0.000001,0,16,5.795733690261841
160,30242,1e-06,0.000000,0.000001,-1,-4,5.455214500427246
161,30243,2e-06,0.000000,0.000002,-121566522,-50122123,5.747990369796753
162,30244,1e-06,0.000000,0.000001,0,0,5.762097597122192
163,30245,1e-06,0.000000,0.000001,0,-25409509671706,5.752108097076416
164,30248,1e-06,0.000000,0.000001,0,-1,5.529813289642334
165,30249,1e-06,0.000000,0.000001,-1289,-99849766217,5.475571393966675
166,30254,1e-06,0.000000,0.000001,4,-1801439850948198401,5.4754319190979
167,30256,1e-06,0.000000,0.000001,0,185178405052679,5.335080623626709
168,30258,1e-06,0.000000,0.000001,638105793343827,-73,5.500196933746338
169,30259,1e-06,0.000000,0.000001,2882303761517117438,-1707976819,5.535128355026245
170,30261,0.0,0.000000,0.000000,23505750016,173997715095542,4.900664806365967
171,30262,1e-06,0.000000,0.000001,32636,-8153215709,4.88660740852356
172,30263,1e-06,0.000000,0.000001,-1,0,4.745985269546509
173,30264,1e-06,0.000000,0.000001,1943580,-9007199254740990,5.911851406097412
174,30265,1e-06,0.000000,0.000001,-6547543419,-136876623,4.749910354614258
175,30266,0.0,0.000000,0.000000,-1,41487,5.73173451423645
176,30269,1e-06,0.000000,0.000001,-716987134426218496,0,5.332008123397827
177,30270,1e-06,0.000000,0.000001,-10632,0,5.271980285644531
178,30271,1e-06,0.000000,0.000001,0,0,5.274328708648682
179,30274,1e-06,0.000000,0.000001,-1587122446360,277340132076551,5.670445442199707
180,30277,0.0,0.000000,0.000000,-1,-25234720948223996,5.721081495285034
181,30278,1e-06,0.000000,0.000001,15741135298918208,0,5.307219982147217
182,30279,1e-06,0.000000,0.000001,-1660676,10081785214797,5.868712902069092
183,30280,1e-06,0.000000,0.000001,-18411713426656,2410258878575,4.951300144195557
184,30283,1e-06,0.000000,0.000001,7,0,5.776217937469482
185,30284,1e-06,0.000000,0.000001,-69819222,265046826,4.856390476226807
186,30285,1e-06,0.000000,0.000001,0,1,5.736753463745117
187,30286,1e-06,0.000000,0.000001,900611069968384,46930789420,5.791438341140747
188,30288,1e-06,0.000000,0.000001,2915470255122,-1969142358205,5.091941595077515
189,30289,1e-06,0.000000,0.000001,1,3,5.418647050857544
190,30290,1e-06,0.000000,0.000001,71,-1,5.739467144012451
191,30292,1e-06,0.000000,0.000001,-11572145670848509,79,5.453941583633423
192,30293,1e-06,0.000000,0.000001,-52662715076878336,-39,5.07625412940979
193,30294,0.0,0.000000,0.000000,0,-97803642820348,5.754833698272705
194,30298,0.0,0.000000,0.000000,-38933354552229884,0,5.664452791213989
195,30299,1e-06,0.000000,0.000001,0,-1,4.903680086135864
196,30300,1e-06,0.000000,0.000001,0,207165582859042815,4.547113418579102
197,30302,1e-06,0.000000,0.000001,0,-1511021159487,5.805549621582031
198,30303,1e-06,0.000000,0.000001,380899026539083584,-1,5.390049695968628
199,30304,1e-06,0.000000,0.000001,0,0,4.68706750869751
200,30307,1e-06,0.000000,0.000001,-1,-7628362564,5.18005108833313
201,30309,1e-06,0.000000,0.000001,0,-8083946567,5.235634803771973
202,30310,1e-06,0.000000,0.000001,-9397,26,5.760488986968994
203,30312,1e-06,0.000000,0.000001,0,1,5.743442535400391
204,30317,1e-06,0.000000,0.000001,-3277353853240,7258949378298085376,5.339038610458374
205,30318,1e-06,0.000000,0.000001,349433303146806,-1062533647431,5.726199388504028
206,30321,0.0,0.000000,0.000000,-1,24899278503936,5.675752401351929
207,30322,1e-06,0.000000,0.000001,15537353545211904,304072835073,5.774639129638672
208,30323,0.0,0.000000,0.000000,-1584,571262173,5.7368152141571045
209,30324,1e-06,0.000000,0.000001,0,1,5.765324354171753
210,30325,1e-06,0.000000,0.000001,0,-1783639226557097,5.945693254470825
211,30327,1e-06,0.000000,0.000001,-208266812812021,1365161160263,5.443341016769409
212,30330,1e-06,0.000000,0.000001,65072992097,-1152921504606846975,5.646142244338989
213,30331,1e-06,0.000000,0.000001,0,10,5.31612229347229
214,30334,1e-06,0.000000,0.000001,1,-8092859236352,5.743307828903198
215,30335,1e-06,0.000000,0.000001,-2635083908144,-9888898,5.729045391082764
216,30336,1e-06,0.000000,0.000001,-2733137423035,-576460752303423487,5.773162603378296
217,30337,1e-06,0.000000,0.000001,-8262825617372,-470716792424403,5.306865692138672
218,30339,1e-06,0.000000,0.000001,0,-637375807,5.588078022003174
219,30340,1e-06,0.000000,0.000001,-1,-9338789407765,4.802629470825195
220,30341,1e-06,0.000000,0.000001,1448614541054181376,-57001018528,5.286198377609253
221,30342,1e-06,0.000000,0.000001,1,0,5.738089084625244
222,30345,1e-06,0.000000,0.000001,0,53017823482005,5.624465465545654
223,30346,1e-06,0.000000,0.000001,20,4680582881607679,5.332011699676514
224,30352,1e-06,0.000000,0.000001,2244,1,5.226080417633057
225,30353,1e-06,0.000000,0.000001,-289996235090,36400239181643,5.296204090118408
226,30354,1e-06,0.000000,0.000001,-587129699085844464,403951775951880191,5.492424249649048
227,30355,1e-06,0.000000,0.000001,53987,-1369094286720630782,5.527029752731323
228,30356,0.0,0.000000,0.000000,29958015876645,-6753890,5.401956558227539
229,30357,1e-06,0.000000,0.000001,57611553,-946756820926464,5.2369396686553955
230,30360,0.0,0.000000,0.000000,-2934982688,1,5.334350824356079
231,30365,1e-06,0.000000,0.000001,304762603876693,-1414311179446,5.766065359115601
232,30366,1e-06,0.000000,0.000001,-1,4704,5.283402442932129
233,30367,1e-06,0.000000,0.000001,195955512058052608,6923525553981,5.893363952636719
234,30368,1e-06,0.000000,0.000001,28353278,863116627804158,5.769861698150635
235,30372,1e-06,0.000000,0.000001,988450116861953,-3563450138,4.246946334838867
