,Seed,Errors
81,129,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
82,130,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 18 (8-10): variable v3.98 is an array (function return)
"
83,131,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
84,132,"Register allocation: no register bank for type int
"
85,133,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v4.92 is an array (function return)
"
86,134,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (25-26): parse error
"
87,135,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
88,136,": line -1 (-1): variable v0.92 is an array (function argument)
"
89,137,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 41 (8-10): variable v7.102 is an array (function return)
"
90,138,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 52 (1-7): typing error: the expression has type U64[5] instead of U64
"
91,139,"compilation error in functions f0 and f0 at position line 12: assembler error Invalid pexpr for word
PLEASE REPORT
"
92,140,": line -1 (-1): variable v0.92 is an array (function argument)
"
93,141,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v6.92 is an array (function return)
"
94,142,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 9 (8-10): variable v4.94 is an array (function return)
"
95,143,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 9 (8-10): variable v4.94 is an array (function return)
"
96,144,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
97,145,"Register allocation: no register bank for type int
"
98,146,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 38 (1-7): typing error: the expression has type U16[5] instead of U16
"
99,147,"Register allocation: no register bank for type int
"
100,149,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (41-42): parse error
"
101,150,"Register allocation at line line 19: variable ZF.143 must be allocated to conflicting register ZF.78
"
102,155,"Register allocation: no register bank for type int
"
103,157,"Register allocation: no register bank for type bool
"
104,158,"Register allocation: no register bank for type int
"
105,159,"WARNING: CAN NOT FIND IINFO 1
Register allocation: no register bank for type int
"
106,160,": line -1 (-1): variable v0.92 is an array (function argument)
"
107,161,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
108,162,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
109,163,"Register allocation: no register bank for type int
"
110,164,"compilation error in functions f0 and f0 at position line 11: assembler error assemble_x86_opn : invalid instruction (check) CMP_64
PLEASE REPORT
"
111,165,"Register allocation: no register bank for type int
"
112,168,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U16 into U64
"
113,169,"Register allocation: no register bank for type bool
"
