,Seed,Errors,Size,Safe
385,385,[],20,False
386,386,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 22 (1-17), variables result and b1 will be merged to v0']",28,False
387,387,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 22 (1-17), variables result and b1 will be merged to v0']",27,False
388,388,[],17,True
389,389,[],18,True
390,390,[],18,True
391,391,[],23,True
392,392,[],22,True
393,393,"[1, 2]",31,True
394,394,[],18,True
395,395,[],18,True
396,396,"['Fatal error: exception Failure(""Environment.dim_of_var: unknown variable in the environment"")']",22,True
397,397,[],16,False
398,398,[],18,True
399,399,[],18,True
400,400,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0']",18,True
401,401,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",18,True
402,402,[],21,True
403,403,[],18,False
404,404,[],6,True
405,405,[],6,True
406,406,[],22,False
407,407,[],18,False
408,408,[],8,True
409,409,[],6,True
410,410,[],6,True
411,411,[],20,False
412,412,[],21,True
413,413,[],21,True
414,414,[],20,True
415,415,[],12,False
416,416,[],18,False
417,417,"[4, 2]",23,False
418,418,[],29,True
419,419,[],18,False
420,420,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0']",18,True
421,421,"[0, 'WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']",18,True
422,422,[],6,True
423,423,[],13,False
